Date,SP500,Tesla,CC,J&J
2021-12-03,4538.43017578125,338.3233337402344,53.540000915527344,159.3800048828125
2021-12-06,4591.669921875,336.336669921875,54.90999984741211,162.94000244140625
2021-12-07,4686.75,350.5833435058594,55.209999084472656,163.36000061035156
2021-12-08,4701.2099609375,356.32000732421875,55.0,164.33999633789062
2021-12-09,4667.4501953125,334.6000061035156,54.86000061035156,165.89999389648438
2021-12-10,4712.02001953125,339.010009765625,56.279998779296875,165.49000549316406
2021-12-13,4668.97021484375,322.13665771484375,57.7599983215332,168.4499969482422
2021-12-14,4634.08984375,319.5033264160156,57.79999923706055,170.2899932861328
2021-12-15,4709.85009765625,325.3299865722656,58.060001373291016,171.13999938964844
2021-12-16,4668.669921875,308.97332763671875,58.650001525878906,173.00999450683594
2021-12-17,4620.64013671875,310.8566589355469,57.72999954223633,168.22999572753906
2021-12-20,4568.02001953125,299.9800109863281,57.540000915527344,167.75
2021-12-21,4649.22998046875,312.84332275390625,57.77000045776367,167.2100067138672
2021-12-22,4696.56005859375,336.2900085449219,58.18000030517578,167.92999267578125
2021-12-23,4725.7900390625,355.6666564941406,58.220001220703125,168.25
2021-12-27,4791.18994140625,364.64666748046875,58.650001525878906,169.6699981689453
2021-12-28,4786.35009765625,362.8233337402344,58.880001068115234,170.35000610351562
2021-12-29,4793.06005859375,362.0633239746094,58.95000076293945,171.5500030517578
2021-12-30,4778.72998046875,356.7799987792969,58.779998779296875,172.30999755859375
2021-12-31,4766.18017578125,352.260009765625,59.209999084472656,171.07000732421875
2022-01-03,4796.56005859375,399.9266662597656,59.29999923706055,171.5399932861328
2022-01-04,4793.5400390625,383.1966552734375,60.290000915527344,171.0800018310547
2022-01-05,4700.580078125,362.7066650390625,60.790000915527344,172.22000122070312
2022-01-06,4696.0498046875,354.8999938964844,60.470001220703125,171.6300048828125
2022-01-07,4677.02978515625,342.32000732421875,60.33000183105469,173.9499969482422
2022-01-10,4670.2900390625,352.7066650390625,60.43000030517578,173.08999633789062
2022-01-11,4713.06982421875,354.79998779296875,60.45000076293945,171.25
2022-01-12,4726.35009765625,368.739990234375,60.540000915527344,169.7899932861328
2022-01-13,4659.02978515625,343.85333251953125,60.900001525878906,168.75999450683594
2022-01-14,4662.85009765625,349.8699951171875,61.38999938964844,167.83999633789062
2022-01-18,4577.10986328125,343.5033264160156,60.900001525878906,167.10000610351562
2022-01-19,4532.759765625,331.8833312988281,61.0,166.5800018310547
2022-01-20,4482.72998046875,332.0899963378906,60.75,165.25
2022-01-21,4397.93994140625,314.6333312988281,60.45000076293945,164.8699951171875
2022-01-24,4410.1298828125,310.0,59.959999084472656,162.97000122070312
2022-01-25,4356.4501953125,306.1333312988281,59.81999969482422,167.6300048828125
2022-01-26,4349.93017578125,312.4700012207031,59.599998474121094,168.3800048828125
2022-01-27,4326.509765625,276.3666687011719,59.650001525878906,170.58999633789062
2022-01-28,4431.85009765625,282.1166687011719,60.84000015258789,171.7899932861328
2022-01-31,4515.5498046875,312.239990234375,61.0099983215332,172.2899932861328
2022-02-01,4546.5400390625,310.4166564941406,60.560001373291016,170.8800048828125
2022-02-02,4589.3798828125,301.88665771484375,61.18000030517578,172.77000427246094
2022-02-03,4477.43994140625,297.0466613769531,61.61000061035156,172.75999450683594
2022-02-04,4500.52978515625,307.7733459472656,60.959999084472656,171.6300048828125
2022-02-07,4483.8701171875,302.4466552734375,61.599998474121094,171.05999755859375
2022-02-08,4521.5400390625,307.3333435058594,62.0,171.50999450683594
2022-02-09,4587.18017578125,310.6666564941406,61.040000915527344,171.49000549316406
2022-02-10,4504.080078125,301.51666259765625,61.380001068115234,169.4199981689453
2022-02-11,4418.64013671875,286.6666564941406,60.290000915527344,167.7100067138672
2022-02-14,4401.669921875,291.9200134277344,60.68000030517578,165.60000610351562
2022-02-15,4471.06982421875,307.4766540527344,60.90999984741211,167.30999755859375
